dmu,name,X1,X2,Y1,XX1,XX2,YY1,YY2
1,Air Canada,2293,7217121,13028613,8352,3060770.35,6420786.0,1157081       
2,ANA All Nippon Airways,2591,14651828,14683532,6479,2556513.78,4286268.0,2059289
3,American Airlines,11123,26310000,34707729,23102,8654892.94,17866791.0,2417898
4,British Airways,4624,19279420,21401581,16563,5304411.47,10079586.0,4438214
5,Delta Air Lines,6628,23357000,27292425,17408,7349946.47,14571329.0,1671083
6,Emirates,3457,20837627,27369447,1353,4717271.61,11276662.0,6531110
7,Garuda Indonesia,102,4736127,2834184,21872,184676.0,346.531,514
8,KLM,4850,6706203,15090771,8101,3027818.18,7347192.0,4093466
9,Lufthansa,19796,31867956,27007957,33288,5759785.56,12398774.0,6928900
10,Malaysia Airlines,3762,3953020,7292543,5231,1606904.02,2997171.0,2072022
11,Qantas,6074,15118143,17368244,12156,3156052.26,9945797.0,2623457
12,SAS Scandinavian Airlines,2047,2954620,4152670,4046,1108178.33,2304528.0,344994
13,Singapore Airlines,438,22323127,21286125,9467,3513668.99,7733939.0,6559460
14,TAM,2789,8314066,7840248,6810,2015096.39,3935997.0,155797
15,Thai Airways,4620,33144669,10441041,7374,2417856.19,4725671.0,2157255
16,United Airlines,4897,12195000,29065589,18460,7647835.29,14645900.0,2340509

