periods,dmu,name,X1,X2,X3,Y1,Y2
1,1,AirCanada,9143,13607675000,3237847,7963161000,10221882
1,2,ANAAllNipponAirways,6230,15599193000,2717899,6866683000,8580408
1,3,AmericanAirlines,24267,37407051000,9406144,22159849000,29695197
1,4,BritishAirways,18390,22398308000,5599238,15225443000,17676793
1,5,DeltaAirLines,18267,28866505000,7698555,17067385000,24304340
1,6,Emirates,13442,23752982000,3881635,15764086000,12254321
1,7,GarudaIndonesia,2287,2575254000,677726,1760887000,2139582
1,8,KLM,8433,16336676000,3214711,12542959000,10148843
1,9,Lufthansa,27376,29350489000,5988763,21193962000,18906526
1,10,MalaysiaAirlines,5377,8457146000,1795361,5727371000,5667956
1,11,Qantas,11475,15484945000,3368147,11708313000,10633239
1,12,SASScandinavianAirlines,4553,4971277000,1354921,3335732000,4277485
1,13,SingaporeAirlines,10234,24362864000,3984628,16495404000,12579471
1,14,TAM,7069,7034568000,1789062,3677442000,5648069
1,15,ThaiAirways,7430,10861259000,2555078,7429327000,8066383
1,16,UnitedAirlines,19517,31987031000,8315963,18836162000,26253495
2,1,AirCanada,8352,13028613000,3060770,7577867000,9662852
2,2,ANAAllNipponAirways,6479,14683532000,2556514,6345557000,8070914
2,3,AmericanAirlines,23102,34707729000,8654893,20284689000,27323497
2,4,BritishAirways,16563,21401581000,5304411,14517800000,16746027
2,5,DeltaAirLines,17408,27292425000,7349946,16242412000,23203781
2,6,Emirates,13153,27369447000,4717272,17807772000,14892426
2,7,GarudaIndonesia,2187,2834184000,676347,1796874000,2135226
2,8,KLM,8101,15090771000,3027818,11440658000,9558822
2,9,Lufthansa,33288,27007957000,5759786,19327674000,18183643
2,10,MalaysiaAirlines,5231,7292543000,1606904,5069193000,5072996
2,11,Qantas,12156,17368244000,3156052,12569254000,9963657
2,12,SASScandinavianAirlines,4046,4152670000,1108178,2649522000,3498519
2,13,SingaporeAirlines,9467,21286125000,3513669,14293399000,11092653
2,14,TAM,6810,7840248000,2015096,4091794000,6361659
2,15,ThaiAirways,7374,10441041000,2417856,6882926000,7633172
2,16,UnitedAirlines,18460,29065589000,7647835,16986409000,24144216
3,1,AirCanada,8569,13958344000,3219901,8557102000,10165228
3,2,ANAAllNipponAirways,6214,14740048000,2578215,7053773000,8139424
3,3,AmericanAirlines,22843,34768045000,8643187,21069160000,27286542
3,4,BritishAirways,16656,20844337000,5181557,14078536000,16358177
3,5,DeltaAirLines,28094,44162438000,11443559,27606002000,36127316
3,6,Emirates,14968,31395942000,5433732,21779289000,17154291
3,7,GarudaIndonesia,2662,3585816000,760580,2197597000,2401151
3,8,KLM,8322,14437621000,3072141,11408232000,9698748
3,9,Lufthansa,34319,27195318000,5896808,20744057000,18616222
3,10,MalaysiaAirlines,5172,7780030000,1621842,5889318000,5120156
3,11,Qantas,12837,18200001000,3119716,14936911000,9848942
3,12,SASScandinavianAirlines,3739,3986369000,1056254,2861152000,3334595
3,13,SingaporeAirlines,9857,21535099000,3568900,15103426000,11267016
3,14,TAM,8517,8701273000,2147523,4785087000,6779730
3,15,ThaiAirways,7209,11478797000,2503521,7983169000,7903616
3,16,UnitedAirlines,18327,28975323000,7735753,17706994000,24421773
4,1,AirCanada,8700,14578014000,3327498,8801111000,10504911
4,2,ANAAllNipponAirways,6358,16011266000,2820653,7374217000,8904801
4,3,AmericanAirlines,23075,34780733000,8705656,21065417000,27483755
4,4,BritishAirways,17686,22743599000,5522346,15299710000,17434047
4,5,DeltaAirLines,28706,44955715000,11744048,27735644000,37075958
4,6,Emirates,17026,34340999000,5949734,22789814000,18783311
4,7,GarudaIndonesia,3025,4564624000,940763,2788371000,2969988
4,8,KLM,8791,15409380000,3278757,12018549000,10351037
4,9,Lufthansa,33603,29944243000,6449860,22161987000,20362209
4,10,MalaysiaAirlines,5231,7773334000,1693755,5671942000,5347184
4,11,Qantas,12541,18779627000,3212271,16075004000,10141141
4,12,SASScandinavianAirlines,3805,4252768000,1136306,2981675000,3587317
4,13,SingaporeAirlines,9996,22579442000,3843804,15380315000,12134888
4,14,TAM,8616,9543028000,2309737,6021704000,7291841
4,15,ThaiAirways,7409,11939041000,2572847,7819082000,8122478
4,16,UnitedAirlines,18188,28302694000,7758080,17045070000,24492258
